rotulo,esq_x0,esq_y0,esq_z0,esq_x1,esq_y1,esq_z1,esq_x2,esq_y2,esq_z2,esq_x3,esq_y3,esq_z3,esq_x4,esq_y4,esq_z4,esq_x5,esq_y5,esq_z5,esq_x6,esq_y6,esq_z6,esq_x7,esq_y7,esq_z7,esq_x8,esq_y8,esq_z8,esq_x9,esq_y9,esq_z9,esq_x10,esq_y10,esq_z10,esq_x11,esq_y11,esq_z11,esq_x12,esq_y12,esq_z12,esq_x13,esq_y13,esq_z13,esq_x14,esq_y14,esq_z14,esq_x15,esq_y15,esq_z15,esq_x16,esq_y16,esq_z16,esq_x17,esq_y17,esq_z17,esq_x18,esq_y18,esq_z18,esq_x19,esq_y19,esq_z19,esq_x20,esq_y20,esq_z20,dir_x0,dir_y0,dir_z0,dir_x1,dir_y1,dir_z1,dir_x2,dir_y2,dir_z2,dir_x3,dir_y3,dir_z3,dir_x4,dir_y4,dir_z4,dir_x5,dir_y5,dir_z5,dir_x6,dir_y6,dir_z6,dir_x7,dir_y7,dir_z7,dir_x8,dir_y8,dir_z8,dir_x9,dir_y9,dir_z9,dir_x10,dir_y10,dir_z10,dir_x11,dir_y11,dir_z11,dir_x12,dir_y12,dir_z12,dir_x13,dir_y13,dir_z13,dir_x14,dir_y14,dir_z14,dir_x15,dir_y15,dir_z15,dir_x16,dir_y16,dir_z16,dir_x17,dir_y17,dir_z17,dir_x18,dir_y18,dir_z18,dir_x19,dir_y19,dir_z19,dir_x20,dir_y20,dir_z20
um,0.0,0.0,0.0,-0.11022457185381701,-0.40361113142086164,-0.015153004562531082,-0.02628497628352492,-0.8929920804632427,-0.10186487946296266,0.1677335592786042,-1.1785736121235535,-0.18655490656921445,0.36298989067690307,-1.2846170047309462,-0.27169362154271226,-0.11729544119784019,-1.1543156333834472,-0.2671847893544979,0.05111753346157692,-1.5839908186030793,-0.42448257337821177,0.1233750839962138,-1.8896719469177528,-0.5214416349123168,0.17331961355197664,-2.152384026900996,-0.5874911211431008,-0.04031662868249475,-0.9991869542041057,-0.3440358927756354,0.53721149188897,-1.2839042934970337,-0.5171568935642474,0.560405653124417,-1.050007224688912,-0.5192431712245019,0.44113870747165723,-0.8818103731120007,-0.49112703550649794,0.09977147375643575,-0.7709180844203517,-0.410321562090511,0.6540712373514324,-0.9959860528669514,-0.5351691626891136,0.5939366769340378,-0.7695922495491847,-0.4427597095146708,0.4384051479284572,-0.6603845510467831,-0.3581303873477974,0.2659456772482161,-0.5112125299831957,-0.4784298044092804,0.7071269794148294,-0.6921487949036498,-0.5242025285511356,0.6454168652280222,-0.5170642011747623,-0.4245960342469943,0.4948198716405709,-0.4184964774947955,-0.3421947970786886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.06109622960696863,-0.4146455787301385,-0.029631907929937105,0.008176747597366823,-0.8958553452312288,-0.1356304048866434,0.21103382367114062,-1.17696085284451,-0.2447584044210941,0.3876067645139324,-1.2872689946339007,-0.3560677445218406,-0.06958752301703693,-1.1629461696081926,-0.30316991550531136,0.14304227059684232,-1.7163562536237482,-0.47822711074469854,0.2504593047511779,-2.075514882779022,-0.5719326035657334,0.330799848481361,-2.3648265860602486,-0.6323852701302622,0.0083371240993913,-0.9999652455769408,-0.3751387264355088,0.5773116682421147,-1.248603677963999,-0.5663494875669258,0.6101673425173472,-1.0080406571667277,-0.5614974487908931,0.5036655082035474,-0.8784671256741986,-0.5364212257784667,0.144779995467563,-0.7672547548940956,-0.43831952577389954,0.6924543459714709,-0.9543732807763979,-0.5843050516307802,0.6423657762761824,-0.7402635772626492,-0.49949875852097986,0.49367929215174594,-0.6637418997440391,-0.4258750815068863,0.3098527429829163,-0.5147568930217749,-0.5041786199137634,0.7378108705606709,-0.6770573356573981,-0.57237342241637,0.6793856098258525,-0.4951540053332779,-0.48895418395447937,0.5345250652240594,-0.4111816772516692,-0.4184398045689693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.0454452081986719,-0.4278767934240401,-0.007877597664727074,0.03511251599747072,-0.8943112261792182,-0.0940052432489034,0.22486234710922895,-1.1657158760654902,-0.19099935283085495,0.3963281611814004,-1.3078323348713858,-0.2893344376080319,-0.06957941446297829,-1.1612892052148545,-0.23435127471652678,0.13117162157024076,-1.7058527316368763,-0.3746592144819843,0.23338739055492735,-2.0451096151146366,-0.4525447957294464,0.2991245639737857,-2.3220799379967976,-0.5050844663027584,0.01961019739091302,-0.9998077015898055,-0.309179444568974,0.5097987227286798,-1.2309984929681697,-0.4764926271276199,0.5173999252431161,-1.002224148130011,-0.4852660365048388,0.390090895995481,-0.8842528745676049,-0.4740341391305425,0.16514968768211966,-0.7878810019781061,-0.37355077272695736,0.6239024500388487,-0.9971671232062764,-0.49894935917923794,0.5899733876633236,-0.7851244748632041,-0.4174695011492063,0.46389574465406797,-0.6956166065029925,-0.34896917306093905,0.3307556724502888,-0.5675390487125395,-0.43931358607890797,0.6884627304452732,-0.7767295724878227,-0.48778119344019977,0.6590659781225239,-0.5945050282661493,-0.3980231181611047,0.5608833773077514,-0.4943020275017036,-0.32443594115382196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.036700493022931026,-0.42637021212507087,0.004748491687876959,0.031669549601492715,-0.8733870292861118,-0.06864473688987954,0.18708851999054663,-1.1531778090695748,-0.15618774401853436,0.33958880554941007,-1.3136067896896866,-0.2452079584204439,-0.05106340287505097,-1.14196484596042,-0.19669315589892405,0.13381666553035665,-1.6562400038138936,-0.32314820711845077,0.2278294925638784,-1.9753405738807477,-0.3918960439883124,0.28759150825827823,-2.2323200324587176,-0.4381004857992027,0.029975954817854176,-0.9995506200952295,-0.27178809496010525,0.4922576780522305,-1.2081887381615513,-0.4252732372854401,0.4993843079558654,-0.992227243122483,-0.43197712265536475,0.3819768962396428,-0.879947341628561,-0.41956863140095424,0.16427171628281134,-0.8028401840667672,-0.33690202966177724,0.5898265308016336,-0.9818967136697238,-0.45031269724321543,0.5533662710587832,-0.7829623753679843,-0.3720788231694254,0.4372060040004062,-0.6996906424437911,-0.3070167541849908,0.3143675508013663,-0.5960985133670567,-0.40292883213740677,0.6423705830891314,-0.7772438763244067,-0.4420531207113997,0.610694803371454,-0.6059164288601419,-0.35527623096997274,0.5203479013033111,-0.5117238006735308,-0.28501921075553854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.03164020157762504,-0.4342574015933287,0.009854879724613826,0.04200727920334834,-0.8761916835920056,-0.061844461098004226,0.2025068516558691,-1.1477981619423172,-0.14909098618592015,0.3643663174583131,-1.3023339870344255,-0.2378234159155322,-0.0364871294938549,-1.140402503862524,-0.1927425295320873,0.14838879413777967,-1.6509349809221212,-0.3142503820052444,0.24226814264264301,-1.963274556799864,-0.3786973992968868,0.30305251425272733,-2.2170010419619604,-0.4227751167368462,0.045875064344341236,-0.9989471850260165,-0.269887743554796,0.49707525515832884,-1.2091677205307088,-0.42026936468086235,0.5043364156041609,-0.9955563774032804,-0.42579721743666443,0.39446370890382776,-0.8818139292327332,-0.41355022969989363,0.17764251860662908,-0.8042638161965133,-0.3362774263307864,0.590199216042636,-0.9863193244439832,-0.4450280559521547,0.5510725093470059,-0.7914161131182416,-0.3644972308062037,0.43740085584015276,-0.7069117387827738,-0.2988747958966734,0.3231739716461929,-0.6027489457263957,-0.4033379160561579,0.6422023594019749,-0.7924612820046959,-0.4359400202577576,0.606009779726495,-0.6342854618552943,-0.34645321163984405,0.5123456274359693,-0.5408362612379539,-0.2756163645969292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.06850641477055572,-0.4593842064213455,0.03590834646346499,0.010436082234792334,-0.8817395017297271,-0.007233671308392672,0.17570342477549997,-1.1239593158236827,-0.06284129688645719,0.3464333179351705,-1.2439314876811647,-0.11972278623164528,-0.02869990023202409,-1.1061060776912373,-0.15072937163648592,0.11966147933293463,-1.644761612693221,-0.22538584381750273,0.19886809562443625,-1.9619902010044106,-0.253118307583052,0.24613404965863628,-2.218626148237359,-0.2741864320172068,0.14158779228521393,-0.9899257028059222,-0.21580687769074022,0.4387906234540472,-1.2386848898149638,-0.2949657870531768,0.413020547600446,-1.0499473314692267,-0.26626695923124727,0.3157997703817334,-0.9094741103154655,-0.24044075036926635,0.32983780236166155,-0.8096804067978101,-0.26691803471981773,0.5616500909696293,-0.9981115622593782,-0.30485408221165194,0.5133705561945986,-0.8461975025330581,-0.21027990586538078,0.41910141923966177,-0.7352970621477414,-0.14985638385905614,0.4977740365846338,-0.6153847001332492,-0.31744037732638786,0.6350481665053644,-0.7737614094924595,-0.2931265731006646,0.5859212439138762,-0.6392074018162266,-0.19074874425864966,0.5181788753752841,-0.5401137676083202,-0.11991488551987498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.07852538562347303,-0.46798327099623854,0.030265687033067125,0.014135763423213498,-0.9014888605006255,-0.009970758707024664,0.1992620078604744,-1.1516226155405545,-0.05756272710639142,0.3780318635536734,-1.2740763041968137,-0.10669947313363555,-0.032122335124499336,-1.1165201665706412,-0.15447916025997846,0.10845845492138677,-1.6539437753841235,-0.2221519441562964,0.18999073364906596,-1.9658449963941305,-0.2432244262013211,0.24439820287355554,-2.2133229368694325,-0.2598141923782058,0.14298539550853975,-0.9897247984522093,-0.21164972999013937,0.42669088234494,-1.2277437642232838,-0.2794672201564449,0.39881846472702703,-1.0330821382057918,-0.24368160834081692,0.3015139396145266,-0.89081253508708,-0.2142130302002804,0.3321744711627512,-0.7939401633343556,-0.2553069083827335,0.5536676860837213,-0.982712317867737,-0.2835810609477692,0.5041571359991155,-0.829239403004201,-0.1856985092194569,0.411079802875419,-0.7184093867514225,-0.12479758413301026,0.49628427959546434,-0.5884597167647904,-0.29799143461424,0.6240425954646877,-0.758711434189954,-0.2689801307436768,0.5671343365590383,-0.6218600858731185,-0.16444368560438746,0.49788071650952037,-0.5245720214059307,-0.09299491873280373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.07905477388174954,-0.4646545827525084,0.02987942891402253,0.014857982141990685,-0.8976380844725311,-0.010428733010510475,0.20287761144922317,-1.1511048310577614,-0.058149472578317984,0.3817104916002262,-1.278165157995819,-0.1075152913237982,-0.03782730137484232,-1.1132951433473202,-0.1532588875065756,0.10702282660816535,-1.6512384712325479,-0.22115366197145625,0.18980448063319447,-1.9617559991295388,-0.24308528867893683,0.2446020583898875,-2.208501175671988,-0.26052965090460695,0.13895860187512082,-0.9902981909328683,-0.21027185754050326,0.42709381036884425,-1.2208395301291355,-0.2770054909328139,0.3995057969153015,-1.0279623212777742,-0.24225496953053624,0.30101067485369715,-0.8904106108466785,-0.21446383321973092,0.33021779994387357,-0.7979657825067972,-0.2540214019084594,0.5556964337960092,-0.9813572991755686,-0.281770415263167,0.5063053947906078,-0.8290313938255006,-0.18438131512468345,0.41307455667683446,-0.720022871190357,-0.12457642638681435,0.49568031869208196,-0.5964950625015991,-0.29695743044153633,0.6259049893666142,-0.7605917883560513,-0.26825709573350714,0.5692300885458542,-0.622306175241583,-0.16432480977321967,0.5001662988441965,-0.5244312009474285,-0.09370047539802537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.11598851249850328,-0.4621387421557169,0.028827876715095818,-0.03339223858779823,-0.8445950122129684,-0.0021433825470014265,0.1616488574624591,-1.0215481947770226,-0.04114835673974349,0.3436042604140031,-1.022151435535595,-0.08524253686605449,0.00507087626086125,-1.0687271145672455,-0.11536240670634196,0.0977971497386947,-1.6044379560913677,-0.1626935767140604,0.1599601557092953,-1.9149943045774136,-0.18269000711410302,0.20704772827816803,-2.16364656119159,-0.201990874969919,0.22224988413091545,-0.9749897378966584,-0.1587935740089002,0.34691219348574975,-1.2677646806430443,-0.19803945308840964,0.2834995342539015,-1.105544350309183,-0.16342161988651555,0.20904479963206804,-0.9404825977448399,-0.13475149445029308,0.40929408368992953,-0.8059012601761356,-0.18959502794123004,0.47138005544328965,-1.0294673588557028,-0.1935852723918132,0.41304478896197855,-0.9093058492809726,-0.11523102961983961,0.35081719992405397,-0.774601629335522,-0.06742133399301645,0.5539170991174759,-0.6242885547620135,-0.22043952270603995,0.5551075221422048,-0.8130270416367708,-0.18617753638680673,0.4987088167535172,-0.7189072866612708,-0.09800002725315404,0.45658448199996576,-0.6100202351530051,-0.036026272215703384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um,0.0,0.0,0.0,-0.1539162610534104,-0.4490819938198237,0.012176895990368676,-0.11181452738972775,-0.8350430011379792,-0.019119589108993803,0.07208986497834703,-1.0013474314980348,-0.05689573878711738,0.2548587012154688,-0.9819860026015876,-0.09702505018716226,-0.019835870408635208,-1.0696732625705592,-0.10983091794010033,0.058832368741754376,-1.6180164805714934,-0.15473130791288617,0.11172269626471798,-1.9190641532277186,-0.1676458704826115,0.1531428183246081,-2.1514662650054275,-0.179772601903254,0.21325086382942374,-0.9769974764941844,-0.14051423142597474,0.2682907113302326,-1.2490246608125193,-0.18370368044694127,0.19425826486129436,-1.1084781083035635,-0.15310145019668195,0.1376890180313506,-0.9516127132518886,-0.12487081954594188,0.3945776155775838,-0.8177101947483681,-0.1618534311990313,0.37853774047515304,-1.0157138493652624,-0.18061360072606963,0.31493571173730506,-0.9045648370769611,-0.11942159619703131,0.2703428416786538,-0.7693859469973277,-0.07724349823637686,0.5289659242064713,-0.6558301022976732,-0.1835491569192806,0.49021527389150554,-0.8281624990905894,-0.16382853862560878,0.4318366180725611,-0.7424621728453473,-0.09294374727157219,0.3999708702876466,-0.633018231786105,-0.0386527598690411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
